,left,right,comp
0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act242.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act65.png,1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act178.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act52.png,-1
0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act4.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act929.png,-1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act146.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act966.png,-1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act76.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act34.png,1
0,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act177.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act306.png,-1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act159.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act165.png,1
0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act113.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act282.png,1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act150.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act225.png,-1
0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act668.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act994.png,1
0,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act692.png,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act137.png,1
0,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act552.png,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act24.png,-1
0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act70.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act14.png,1
0,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act415.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act46.png,1
0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act986.png,../../saved_models/vgg19/004/img/epoch-30/prototype-img-original_with_self_act602.png,1
0,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act609.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act963.png,1
0,../../saved_models/vgg19/003/img/epoch-10/prototype-img-original_with_self_act164.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act902.png,-1
0,../../saved_models/vgg19/004/img/epoch-100/prototype-img-original_with_self_act770.png,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act14.png,1
0,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act53.png,../../saved_models/vgg19/004/img/epoch-70/prototype-img-original_with_self_act859.png,-1
0,../../saved_models/vgg19/004/img/epoch-10/prototype-img-original_with_self_act505.png,../../saved_models/vgg19/003/img/epoch-30/prototype-img-original_with_self_act179.png,1
