,Unnamed: 0,left,right,comp
0,0.0,../../saved_models/vgg19/004/nearest_images_100/884/,../../saved_models/vgg19/004/nearest_images_100/930/,-1
1,0.0,../../saved_models/vgg19/004/nearest_images_100/734/,../../saved_models/vgg19/004/nearest_images_100/458/,1
2,0.0,../../saved_models/vgg19/004/nearest_images_100/36/,../../saved_models/vgg19/004/nearest_images_100/527/,-1
3,0.0,../../saved_models/vgg19/004/nearest_images_100/567/,../../saved_models/vgg19/004/nearest_images_100/173/,0
4,0.0,../../saved_models/vgg19/004/nearest_images_100/351/,../../saved_models/vgg19/004/nearest_images_100/84/,0
5,0.0,../../saved_models/vgg19/004/nearest_images_100/881/,../../saved_models/vgg19/004/nearest_images_100/531/,0
6,0.0,../../saved_models/vgg19/004/nearest_images_100/12/,../../saved_models/vgg19/004/nearest_images_100/811/,0
7,0.0,../../saved_models/vgg19/004/nearest_images_100/728/,../../saved_models/vgg19/004/nearest_images_100/200/,-1
8,0.0,../../saved_models/vgg19/004/nearest_images_100/998/,../../saved_models/vgg19/004/nearest_images_100/600/,-1
9,0.0,../../saved_models/vgg19/004/nearest_images_100/354/,../../saved_models/vgg19/004/nearest_images_100/159/,1
0,,../../saved_models/vgg19/004/nearest_images_100/506/,../../saved_models/vgg19/004/nearest_images_100/655/,-1
0,,../../saved_models/vgg19/004/nearest_images_100/399/,../../saved_models/vgg19/004/nearest_images_100/935/,-1
0,,../../saved_models/vgg19/004/nearest_images_100/982/,../../saved_models/vgg19/004/nearest_images_100/141/,1
0,,../../saved_models/vgg19/004/nearest_images_100/132/,../../saved_models/vgg19/004/nearest_images_100/637/,1
0,,../../saved_models/vgg19/004/nearest_images_100/622/,../../saved_models/vgg19/004/nearest_images_100/940/,0
0,,../../saved_models/vgg19/004/nearest_images_100/164/,../../saved_models/vgg19/004/nearest_images_100/190/,0
0,,../../saved_models/vgg19/004/nearest_images_100/117/,../../saved_models/vgg19/004/nearest_images_100/565/,1
0,,../../saved_models/vgg19/004/nearest_images_100/938/,../../saved_models/vgg19/004/nearest_images_100/265/,1
0,,../../saved_models/vgg19/004/nearest_images_100/86/,../../saved_models/vgg19/004/nearest_images_100/220/,-1
