,Unnamed: 0,left,right,comp
0,0.0,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/755/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1206/,0
1,0.0,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/409/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/433/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/920/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1216/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/943/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1285/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/810/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/578/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1966/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/175/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/505/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1930/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1366/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1744/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1693/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1431/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1476/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1070/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/865/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/469/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/274/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/835/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/861/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/745/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1272/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/589/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/855/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1792/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/295/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1058/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/107/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1089/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/481/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/946/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/717/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1153/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/861/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/435/,-1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/946/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/146/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/240/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1834/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1460/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/998/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1616/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/186/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/248/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1155/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1665/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/859/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/865/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/764/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/537/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/39/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1088/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/994/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/140/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/826/,0
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/618/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/426/,1
0,,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/143/,/scratch/users/jiaxun1218/saved_models/vgg19/009/epoch-100/1662/,-1
